, ,Area,Image,ROI,ExptDate,Treatment,Dose,Stains,Embryo,Somites,ImageMag
0,1,50227.996,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb7_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb7,8ss,5x
1,2,41313.891,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb7_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb7,8ss,5x
0,1,50345.894,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb3_7ss_5x,CntlArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb3,7ss,5x
1,2,35172.459,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb3_7ss_5x,ExptArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb3,7ss,5x
0,1,75929.012,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb2_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb2,8ss,5x
1,2,49886.668,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb2_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb2,8ss,5x
0,1,53938.907999999996,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb5_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb5,8ss,5x
1,2,45332.329000000005,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb5_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb5,8ss,5x
0,1,52868.754,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb1_7ss_5x,CntlArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb1,7ss,5x
1,2,29637.007,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb1_7ss_5x,ExptArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb1,7ss,5x
0,1,50171.932,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb8_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb8,8ss,5x
1,2,38214.731,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb8_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb8,8ss,5x
0,1,39952.701,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb3_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb3,8ss,5x
1,2,31338.701,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb3_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb3,8ss,5x
0,1,57826.255999999994,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb6_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb6,8ss,5x
1,2,41191.046,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb6_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb6,8ss,5x
0,1,47461.919,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb4_8ss_5x,CntlArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb4,8ss,5x
1,2,33891.242,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb4_8ss_5x,ExptArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb4,8ss,5x
0,1,70461.991,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb1_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb1,8ss,5x
1,2,54508.613,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb1_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb1,8ss,5x
0,1,56000.068,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb6_8ss_5x,CntlArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb6,8ss,5x
1,2,38291.406,20190108_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFPFLAGSnai2_Emb6_8ss_5x,ExptArea,20190108,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFPFLAGSnai2,Emb6,8ss,5x
0,1,61545.413,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb4_8ss_5x,CntlArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb4,8ss,5x
1,2,46787.508,20181125_pCAGdnBMPR1AFLAG_3ugul_NC11m3eGFP_Emb4_8ss_5x,ExptArea,20181125,pCAGdnBMPR1AFLAG,3ugul,NC11m3eGFP,Emb4,8ss,5x
